0	   2.4052000e-01  -2.2730000e-02   1.1049000e-01  -4.4403000e-01  -4.3748000e-01   2.9852000e-01   8.4240000e-01
0.01	   2.4052000e-01  -2.2730000e-02   1.1049000e-01  -4.4403000e-01  -4.3746000e-01   2.9852000e-01   8.4240000e-01
0.02	   2.4052000e-01  -2.2730000e-02   1.1050000e-01  -4.4403000e-01  -4.3743000e-01   2.9851000e-01   8.4240000e-01
0.03	   2.4052000e-01  -2.2730000e-02   1.1051000e-01  -4.4402000e-01  -4.3740000e-01   2.9851000e-01   8.4239000e-01
0.04	   2.4051000e-01  -2.2720000e-02   1.1053000e-01  -4.4401000e-01  -4.3736000e-01   2.9851000e-01   8.4238000e-01
0.05	   2.4050000e-01  -2.2720000e-02   1.1057000e-01  -4.4399000e-01  -4.3730000e-01   2.9851000e-01   8.4236000e-01
0.06	   2.4048000e-01  -2.2700000e-02   1.1063000e-01  -4.4397000e-01  -4.3723000e-01   2.9850000e-01   8.4233000e-01
0.07	   2.4046000e-01  -2.2690000e-02   1.1071000e-01  -4.4393000e-01  -4.3713000e-01   2.9849000e-01   8.4228000e-01
0.08	   2.4043000e-01  -2.2670000e-02   1.1082000e-01  -4.4388000e-01  -4.3701000e-01   2.9848000e-01   8.4222000e-01
0.09	   2.4039000e-01  -2.2640000e-02   1.1095000e-01  -4.4382000e-01  -4.3686000e-01   2.9847000e-01   8.4215000e-01
0.1	   2.4035000e-01  -2.2600000e-02   1.1112000e-01  -4.4373000e-01  -4.3667000e-01   2.9845000e-01   8.4205000e-01
0.11	   2.4029000e-01  -2.2560000e-02   1.1133000e-01  -4.4363000e-01  -4.3645000e-01   2.9843000e-01   8.4193000e-01
0.12	   2.4023000e-01  -2.2510000e-02   1.1157000e-01  -4.4351000e-01  -4.3619000e-01   2.9841000e-01   8.4179000e-01
0.13	   2.4015000e-01  -2.2450000e-02   1.1186000e-01  -4.4337000e-01  -4.3589000e-01   2.9838000e-01   8.4162000e-01
0.14	   2.4006000e-01  -2.2380000e-02   1.1219000e-01  -4.4320000e-01  -4.3554000e-01   2.9835000e-01   8.4142000e-01
0.15	   2.3996000e-01  -2.2300000e-02   1.1257000e-01  -4.4300000e-01  -4.3514000e-01   2.9832000e-01   8.4119000e-01
0.16	   2.3984000e-01  -2.2210000e-02   1.1301000e-01  -4.4278000e-01  -4.3469000e-01   2.9828000e-01   8.4093000e-01
0.17	   2.3971000e-01  -2.2110000e-02   1.1349000e-01  -4.4252000e-01  -4.3418000e-01   2.9823000e-01   8.4064000e-01
0.18	   2.3956000e-01  -2.1990000e-02   1.1403000e-01  -4.4223000e-01  -4.3362000e-01   2.9818000e-01   8.4030000e-01
0.19	   2.3939000e-01  -2.1860000e-02   1.1463000e-01  -4.4190000e-01  -4.3299000e-01   2.9813000e-01   8.3993000e-01
0.2	   2.3921000e-01  -2.1720000e-02   1.1529000e-01  -4.4154000e-01  -4.3229000e-01   2.9807000e-01   8.3951000e-01
0.21	   2.3902000e-01  -2.1560000e-02   1.1602000e-01  -4.4113000e-01  -4.3153000e-01   2.9801000e-01   8.3905000e-01
0.22	   2.3880000e-01  -2.1390000e-02   1.1680000e-01  -4.4068000e-01  -4.3069000e-01   2.9795000e-01   8.3854000e-01
