"(No Title)"
	"2022-04-"	"8 15:32:36"

" Result ID"	"Result Type"	"I Marker ID"	"J Marker ID"	"Result Title"
"MOTION_1_MEA_2"	"  Variable"	"     (N/A)"	"     (N/A)"	"(No Comment)"

".SevenDof_4.Last_Run.MOTION_1_MEA_2.TIME"	".SevenDof_4.Last_Run.MOTION_1_MEA_2.Q"
0.000000e+00	-8.371494e-03
1.000000e-02	1.891924e-02
2.000000e-02	4.655237e-02
3.000000e-02	7.449238e-02
4.000000e-02	1.026999e-01
5.000000e-02	1.311315e-01
6.000000e-02	1.597399e-01
7.000000e-02	1.884737e-01
8.000000e-02	2.172772e-01
9.000000e-02	2.460907e-01
1.000000e-01	2.748504e-01
1.100000e-01	3.034883e-01
1.200000e-01	3.319323e-01
1.300000e-01	3.601061e-01
1.400000e-01	3.879296e-01
1.500000e-01	4.153188e-01
1.600000e-01	4.421855e-01
1.700000e-01	4.684383e-01
1.800000e-01	4.939819e-01
1.900000e-01	5.187177e-01
2.000000e-01	5.425439e-01
2.100000e-01	5.653555e-01
2.200000e-01	5.870450e-01
2.300000e-01	6.075020e-01
2.400000e-01	6.266140e-01
2.500000e-01	6.442665e-01
2.600000e-01	6.603435e-01
2.700000e-01	6.747274e-01
2.800000e-01	6.872999e-01
2.900000e-01	6.979424e-01
3.000000e-01	7.065361e-01
3.100000e-01	7.129628e-01
3.200000e-01	7.171056e-01
3.300000e-01	7.188490e-01
3.400000e-01	7.180801e-01
3.500000e-01	7.146891e-01
3.600000e-01	7.085699e-01
3.700000e-01	6.996213e-01
3.800000e-01	6.877474e-01
3.900000e-01	6.728590e-01
4.000000e-01	6.548742e-01
4.100000e-01	6.337199e-01
4.200000e-01	6.093323e-01
4.300000e-01	5.816588e-01
4.400000e-01	5.506586e-01
4.500000e-01	5.163043e-01
4.600000e-01	4.785831e-01
4.700000e-01	4.374982e-01
4.800000e-01	3.930703e-01
4.900000e-01	3.453386e-01
5.000000e-01	2.943626e-01
